,created_at,description,friends_count,id,lang,location,name,screen_name,text,time_zone,verified
92,Wed Sep 23 15:41:07 +0000 2015,#noticias de última hora sobre actualidad nacional  e internacional. escenarios  conocimiento  protagonistas  visiones y mucho más. #empresas,878.0,6.467108964636058e+17,es,sevilla,Informaria Digital,informaria,el consejero delegado de   main winterkorn ha dimitido esta tarde tras el escándalo por la manipulación de las emisiones,madrid,1385.0
93,Wed Sep 23 15:41:07 +0000 2015,dia a dia--- carpe diem. futbolero  paciente y autentico. los años pasan pero mi alma se mantiene intacta y real para todos los que quiero.,30.0,6.467108970884219e+17,es,san vicente,Arturo Blanco,ArturoB3P,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,30.0
94,Wed Sep 23 15:41:08 +0000 2015,cuenta oficial de el civico (http://twiends.com/diarioelcivico),1871.0,6.467108999237919e+17,es,argentina,El Cívico,diarioelcivico,renunció el ceo de   tras escándalo por emisión de gases ,buenos aires,1103.0
95,Wed Sep 23 15:41:09 +0000 2015,toda la información de la sección de motor de abc. también en https://www.facebook.com/abcmotor,243.0,6.467109023230484e+17,es,,abc_motor,abc_motor,dimite el presidente de   tras el escándalo de manipulación en eeuu ,,139.0
96,Wed Sep 23 15:41:09 +0000 2015,servicios de contabilidad general y asesoría en finanzas  manejo de nominas y tesorería,15.0,6.467109059594117e+17,es,marylan,Juan Fuentes,JuanFue81,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,17.0
97,Wed Sep 23 15:41:11 +0000 2015,estudio comunicación social en la unmsm. a veces escribo. ♪,929.0,6.467109110598205e+17,es,lima  perú,Lucía Ignacio Quispe,luciaignacioq,  instaló software en coches para falsear emisiones de gas y eludir norma medioambiental vía ,,230.0
98,Wed Sep 23 15:41:11 +0000 2015,somos información  entretenimiento y emprendimiento. #estoyendv,3127.0,6.467109141340488e+17,es,,DV,LaCotorraTV1,el escandalo de   : la transnacional sigue en caide libre por grave estafa ,caracas,5947.0
99,Wed Sep 23 15:41:12 +0000 2015,nada que contar.....,16.0,6.467109153546199e+17,es,soya,Jonas Aparicio,JonasAparicio1,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,17.0
100,Wed Sep 23 15:41:13 +0000 2015,ade.comparto actualidad polític econ sociedad deportes cultura pref cine.me gusta el sentido común q por desgracia muchas veces es el menos común d los sentidos,891.0,6.467109201278812e+17,es,alcalá de henares-madrid-spain,F.Javier Villalvilla,FJVillalvilla,  acumula una caída de un tercio de su valor bursátil ,madrid,947.0
101,Wed Sep 23 15:41:14 +0000 2015,de san miguel de dmercedes departamento de chalatengo  cumplo años el 18 de noviembre,16.0,6.467109232650936e+17,es,chalate,Algen Rosario,ArgentinoRess,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,16.0
102,Wed Sep 23 15:41:15 +0000 2015,cronopio venezolano. there are a lot of places i like  but i like new orleans better. adoro el caracas fc vinotinto sobretodo y mi glorioso atletico de madrid,18.0,6.467109304289567e+17,es,cuscatlán,Axel Azarias,AxelAzarias,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,240.0
103,Wed Sep 23 15:41:17 +0000 2015,en un mundo de hipócritas los sinceros somos los malos...,17.0,6.4671093795772e+17,es,san vicente,Caleb García,CaleebG_,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,central time (us & canada),14.0
104,Wed Sep 23 15:41:18 +0000 2015,como dicen los argentinos: si hay gobierno yo soy contra! en una españa más azul un miguel más rojo,2743.0,6.467109398117499e+17,es,,Un poco pesao,miguelmansell,después nos enteraremos que todos hacen lo mismo ,,2647.0
105,Wed Sep 23 15:41:20 +0000 2015,toda la actualidad del motor. noticias  reportajes  imágenes  vídeos y todo lo relacionado con el mundo del motor.,199.0,6.46710949722882e+17,es,,El Mundo Motor,elmundomotor,"main winterkorn: ""hago esto por el interés de la compañía a pesar de que no he hecho nada malo""   ",madrid,11027.0
106,Wed Sep 23 15:41:20 +0000 2015,#ingenieriamecatronica #youtuber #emprededurismo #economia #negocios #sistemasinformaticos,18.0,6.467109502177075e+17,es,metapán,Calixto Paz,CalixtoPaz1,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,16.0
107,Wed Sep 23 15:41:21 +0000 2015,la libertad no puede ser concedida  tiene que ser conquistada.,94635.0,6.467109523945144e+17,es,méxico,Mrs. Green,Diplomatyka,"el impacto del escándalo de   en la marca ""hecho en alemania"" ",mexico city,110790.0
108,Wed Sep 23 15:41:21 +0000 2015,cristiano  amante sobre todas las cosas de dios,19.0,6.467109544413102e+17,es,mejicanos,Carlos Solís,CarlosSols4,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,15.0
109,Wed Sep 23 15:41:22 +0000 2015,el portal líder en información sobre marketing  publicidad  medios y nuevas tecnologías,104.0,6.467109577172132e+17,es,madrid (españa),MarketingDirecto.com,MkDirecto,primera víctima del escándalo de las emisiones: el ceo de   “se quita de en medio” ,madrid,286450.0
110,Wed Sep 23 15:41:23 +0000 2015,quisiera conquistar ala chika perfecta  quisiera ser superman xd,21.0,6.467109614835507e+17,es,guatemala city,Cesar Argueta,CesarArgueta6,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,16.0
111,Wed Sep 23 15:41:23 +0000 2015,updates about technology  social trends  and entertainment for the digital generation.,1068.0,6.467109631151677e+17,es,,TechBulletin,TechBulletin,dimite el presidente de   tras el escándalo de las emisiones de gases ,,582.0
112,Wed Sep 23 15:41:24 +0000 2015,soy extrovertido hasta mas ya no poder xd,14.0,6.467109675359764e+17,es,san salvador,Roxana M.,MRoxiiii,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,central time (us & canada),21.0
113,Wed Sep 23 15:41:25 +0000 2015,información y noticias al minuto,1449.0,6.467109693101834e+17,es,,Bolsamanitas,bolsamanitas,labolsadelmanitas dimite el presidente de   tras el escándalo de las emisiones de gase ,,2184.0
114,Wed Sep 23 15:41:25 +0000 2015,te mantenemos informado con las más selectas #noticias de los principales diarios españoles y de la actualidad #política  #economia  #deportes del país.,5872.0,6.467109708159427e+17,es,españa,Informativos España,tuitHispania,dimite el presidente de   tras el escándalo de las emisiones de gases ,eastern time (us & canada),7430.0
