,id,location,country_code,latitude,longitude
143,646711646958678016,Concepción,AR,-28.39175,-57.88777
144,646711808422768640,Concepción,AR,-28.39175,-57.88777
145,646714507524481024,Concepción,AR,-28.39175,-57.88777
146,646714552114094080,Concepción,AR,-28.39175,-57.88777
147,646715175480000512,Concepción,AR,-28.39175,-57.88777
148,646714717969510401,Campana,AR,-34.16874,-58.95914000000001
149,646710464131530752,Buenos Aires,AR,-34.61315,-58.37723
150,646711002755690496,Buenos Aires,AR,-34.61315,-58.37723
151,646711307970965504,Buenos Aires,AR,-34.61315,-58.37723
152,646711530835329024,Buenos Aires,AR,-34.61315,-58.37723
153,646711597331779584,Buenos Aires,AR,-34.61315,-58.37723
154,646711973455994880,Buenos Aires,AR,-34.61315,-58.37723
155,646712010235707392,Buenos Aires,AR,-34.61315,-58.37723
156,646712021950427136,Buenos Aires,AR,-34.61315,-58.37723
157,646712076753178626,Buenos Aires,AR,-34.61315,-58.37723
158,646712434963578880,Buenos Aires,AR,-34.61315,-58.37723
159,646712446716133376,Buenos Aires,AR,-34.61315,-58.37723
160,646712541733875712,Buenos Aires,AR,-34.61315,-58.37723
161,646712866347859968,Buenos Aires,AR,-34.61315,-58.37723
162,646713181524594688,Buenos Aires,AR,-34.61315,-58.37723
163,646713329101225984,Buenos Aires,AR,-34.61315,-58.37723
164,646713551554539520,Buenos Aires,AR,-34.61315,-58.37723
165,646714516936466432,Buenos Aires,AR,-34.61315,-58.37723
166,646714638751637504,Buenos Aires,AR,-34.61315,-58.37723
167,646714711111811072,Buenos Aires,AR,-34.61315,-58.37723
168,646714979471593473,Buenos Aires,AR,-34.61315,-58.37723
169,646714984634843136,Buenos Aires,AR,-34.61315,-58.37723
170,646714987067523072,Buenos Aires,AR,-34.61315,-58.37723
171,646715188415229952,Buenos Aires,AR,-34.61315,-58.37723
172,646715206660325378,Buenos Aires,AR,-34.61315,-58.37723
173,646715276361396228,Buenos Aires,AR,-34.61315,-58.37723
174,646715277309181952,Buenos Aires,AR,-34.61315,-58.37723
175,646714060713668608,Avellaneda,AR,-29.11761,-59.65834
176,646712040518778880,Vera,AR,-29.4593,-60.21261
177,646712269343076352,Vera,AR,-29.4593,-60.21261
178,646712457516285952,Vera,AR,-29.4593,-60.21261
179,646713127984193537,Vera,AR,-29.4593,-60.21261
180,646714109451350017,Vera,AR,-29.4593,-60.21261
181,646714468949323776,Vera,AR,-29.4593,-60.21261
182,646714664110329856,Vera,AR,-29.4593,-60.21261
183,646714666786226177,Vera,AR,-29.4593,-60.21261
184,646715228567171072,Vera,AR,-29.4593,-60.21261
185,646715318463651840,Vera,AR,-29.4593,-60.21261
