id,created_at,name,screen_name,verified,followers_count,friends_count,text,description,lang,time_zone,location
646712580392620033,Wed Sep 23 15:47:49 +0000 2015,AMO Mi PAIS PANAMA,letona09,False,651,1273,rt @noticiascaracol: ampliación renuncia presidente de volkswagen tras escándalo con 11 millones de autos diesel http://t.co/xlqg8n2irf htt…,independiente amo a dios a mi madre y amo a panama,es,central time (us & canada),panama puente del mundo
646712581751705600,Wed Sep 23 15:47:49 +0000 2015,#Noticias del #Perú,peruenlanoticia,False,100229,6591,#loúltimo: escándalo volkswagen: la búsqueda de responsables apunta a él - el comercio http://t.co/bxfxxgp2zr,#noticias de #perú y del #mundo actualizadas las 24 horas. #prensa #política #martínbelaundelossio #olm #lopézmeneses #dini #mbl #nadineheredía,es,NULL,perú
646712581768486912,Wed Sep 23 15:47:49 +0000 2015,Maturin Socialista.,SocialismoMat,False,181,262,#vzlanosedoblega el director ejecutivo de volkswagen dimite en medio del escándalo por la manipulación de emisione... http://t.co/6o6eigisdq,recuperemos a #maturin de la derecha parasitaria. fuera la derecha...,es,caracas,maturin  venezuela
646712582326362112,Wed Sep 23 15:47:49 +0000 2015,#Noticias del #Perú,peruenlanoticia,False,100229,6591,#loúltimo: china  volkswagen y el bce siguen en boca de todos a nivel global - diario gestión http://t.co/ph7a8vuyni,#noticias de #perú y del #mundo actualizadas las 24 horas. #prensa #política #martínbelaundelossio #olm #lopézmeneses #dini #mbl #nadineheredía,es,NULL,perú
646712586285772800,Wed Sep 23 15:47:50 +0000 2015,Oscar Lameda,raphaellamper,False,450,703,rt @noticiascaracol: ampliación renuncia presidente de volkswagen tras escándalo con 11 millones de autos diesel http://t.co/xlqg8n2irf htt…,NULL,es,hawaii,çdad bolivar/ venezuela 
646712585325146112,Wed Sep 23 15:47:50 +0000 2015,Jose Medina,JoseMedina4594,False,1275,1140,rt @antesdedesembar: dimite el presidente de volkswagen por el escándalo de los coches trucados http://t.co/2rb1qs0dq2,lic. en educación   politico  analista internacional  deportista  padre  católico por convicción  amo a sto.dgo.  y con residencia en barcelona sigueme y t sigo,es,NULL,
646712586734432256,Wed Sep 23 15:47:50 +0000 2015,Pistonudos,SomosPistonudos,False,4784,74,martin winterkorn  ceo de volkswagen  ha dimito http://t.co/idmul20zvs,perfil oficial de http://pistonudos.com el magazine multiplataforma del motor.,es,madrid,españa
646712587153973249,Wed Sep 23 15:47:50 +0000 2015,La Voz Libre,lavozlibre,False,5649,196,dimite el presidente de volkswagen  martin winterkorn  tras el fraude en sus coches http://t.co/d4ljihu9j0,diario digital independiente,es,madrid,madrid
646712588299030530,Wed Sep 23 15:47:51 +0000 2015,Magda Maya Gualtieri,magdamayag,False,426,404,rt @klamacomunica: primera víctima del escándalo de las emisiones: el ceo de volkswagen “se quita de en medio” http://t.co/tjzxkogzyi #mark…,estudiante de ingeniería de telecomunicaciones  ucab | cofundadora asociación de jóvenes empresarios ucab @ajeucab,es,caracas,distrito capital  venezuela
646712592833085441,Wed Sep 23 15:47:52 +0000 2015,✨,Iree__NeeXD,False,74,193,itepregunto el jefe de volkswagen dimite por el escándalo de las emisiones de gases http://t.co/bmmp4nppuh,mamaguevo to' .l.,es,NULL,
